tidy_tweet,Sentiment
it hurts like hell when someone makes you feel special  then suddenly leaves you hanging  and you have to act like you don t care at all ,Positive
i m just so tired  tired of not being good enough  tired of getting put down  tired of crying  tired of insecurities  tired of being tired ,Negative
she pretends like nothing happened because she wants people to see how strong she is  only she knows how painful and emotional she really is,Positive
my only relief is to sleep  when i m sleeping  i m not sad  i m not angry  i m not scared  i m not hurting  i m not lonely  i m just nothing,Positive
twitter just shows with a simple retweet that a lot of us are going through the same shit  at the same exact time  make s us feel less alone,Negative
the most irritating thing is when something bothers you and you literally can t do anything about it but drown yourself in your own thoughts,Negative
the worst feeling is when you find out you didn t mean as much to someone as you thought you did and you look so stupid for caring too much ,Negative
no one ever notices your tears  no one even notices your sadness  no one notices your hurt and in pain  but they always notice your mistakes,Negative
you smile  but you really just want to cry  you talk  but you just want to be quiet and you pretend like you re happy but you really aren t,Positive
you dont know pain until you are staring at the mirror with tears streaming down your face  begging yourself to just hold on and be strong ,Positive
physically  mentally  emotionally tired ,Negative
i literally ruin everything without even trying,Negative
that embarrassing moment when you have to quickly wipe away your tears  put a fake smile on  because you hear someone coming in to the room ,Negative
i should wake up feeling glad but i dont  i want to go back to sleep and stay that way forever  i dont want to wake up  i want to give up ,Negative
you re afraid to tell people how you feel because you fear rejection  so you bury it deep inside yourself where it only destroys you more ,Negative
i would just like to say fuck you to everyone who made me feel inadequate and worthless growing up and ruining my self confidence for years ,Negative
it s kinda sad when you realize the person you used to tell everything to  now has no idea of what s happening with your life ,Negative
it s sad when you realize you aren t as important to someone as you thought you were,Negative
do you get the feeling people are slowly forgetting about you and replacing you and you soon realize it s not a feeling  it s become reality,Positive
i m sorry i can t live up to your expectations  i m sorry i can t be normal like everyone else  i m sorry i m not as good as everyone else ,Negative
do you ever just sit there and realize that you mean nothing to anyone and  you start feeling lost  alone  and unloved  and truly unwanted ,Negative
when i die dont come to my grave  amp  sit there telling me how much you love and miss me those are the things i needed to hear when i was alive,Negative
those teenagers who sit in their rooms at night cry themselves to sleep were once children with light in their eyes and hope in their heart ,Negative
im scared to get close to people because i think they will eventually walk out of my life no matter how close we are because everyone leaves,Negative
the saddest people try their best to make people happy they know what it s like to feel worthless  they dont want anyone else to feel that ,Positive
worst feeling in the world is knowing you did the best you could  and it still wasn t good enough ,Negative
one minute i seem to be feeling fine  the next minute it feels like everything around me is crumbling and i m left feeling nothing ,Positive
i m so tired  i m stressed  and i m sad  everything hurts  i m about to break down  and i know i should be stronger than this  but i m not ,Negative
typing  haha  when you can t even smile  acting like you re happy when all you want to do is cry  tell everyone you re okay when you re  not,Positive
twitter is the only place you don t have to say  i m fine  because everyone on here knows you aren t ,Positive
have you been so sad and tired and want to be alone  but at the same time you really wish there was someone who you could talk to who cares ,Positive
sometimes it s better to keep silent than to tell others how you feel because it hurts knowing they can hear you  but not understand you ,Negative
i lost myself a long time ago  i don t know who i am anymore ,Negative
i wish someone was afraid to lose me i m always scared of losing people that i love but i doubt anyone would fight to keep me in their life ,Negative
feeling sad for no reason is worse than being sad for a reason  because there s absolutely nothing you can do to make yourself feel better ,Negative
it hurts like hell when someone makes you feel special  then suddenly leaves you hanging  and you have to act like you don t care at all ,Positive
i am constantly torn between wanting to fix myself and wanting to destroy myself ,Negative
do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet,Negative
do you ever feel physically sick because you know you re not good enough for anyone and can t do anything right  no matter how hard you try ,Negative
ever miss yourself    the person you were  before you became depressed  before you started hating yourself  before you wanted to die   i do ,Negative
i always act like i m fine and everyone thinks i m okay  but when the lights are off and i m all alone  that s when my tears start to fall ,Negative
when you re ignored by someone whose attention means the most to you  is the worst feeling  you start to over think and it eats away at you ,Negative
overthinking killed my happiness  insecurites killed my self esteem  lies killed my trust ,Negative
i hate i m the type of person to never get any sleep  because all i do every night is overthink the smallest shit that shouldn t even matter,Negative
the worst thing is when you re super excited to talk to someone and they just brush you off and you realise they don t care at all  it sucks,Negative
that embarrassing moment when you have to quickly wipe away your tears  put a fake smile on  because you hear someone coming in to the room ,Negative
i wish someone was afraid to lose me i m always scared of losing people that i love but i doubt anyone would fight to keep me in their life ,Negative
do you ever just want to pack up and just leave out of the blue without saying anything to anyone like just leave and start a fresh new life,Positive
do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet,Negative
we hide behind a fake smile to mask the pain but sometimes we wish someone would look closely enough and see how broken we really are inside,Negative
physically  mentally  emotionally tired ,Negative
i truly feel like everything i say or do is always wrong  like i m a total disappointment to everyone  and all i ever do is let people down ,Positive
nothing hurts more then being ignored  replaced  forgotten  lied to ,Negative
it sucks  doesn t it   feeling like you re not good enough  no matter how hard you try ,Negative
when you re actually feeling good for a moment because everything seems to be going okay and then something happens and boom sadness again ,Positive
feeling sad for no reason is worse than being sad for a reason  because there s absolutely nothing you can do to make yourself feel better ,Negative
i hate getting so sad to the point where my body completely shuts down  and all i can do is just lay there and think about all my problems ,Negative
i dont think people understand just how stressful it is to explain whats going on inside your head when you dont even understand it yourself,Negative
when i m hurt  i shut down  i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it,Negative
she pretends like nothing happened because she wants people to see her strong only she knows how painful  emotionaly  mentally she really is,Positive
i m a really hard person to understand  i have major issues with talking about all my feelings and thoughts and i m really sorry  i m trying,Negative
typing  haha  when you can t even smile  acting like you re happy when all you want to do is cry  tell everyone you re okay when you re  not,Positive
 why are you sad    i don t know   no reason    oh no there are plenty of reasons  i m just not sure which one it is this  ,Positive
when you re ignored by someone whose attention means the most to you  is the worst feeling  you start to over think and it eats away at you ,Negative
all the things i ve done wrong     i relied on someone for my happiness     i love people more than i love myself     i never asked for help,Positive
i don t think anyone really understands how tiring it is to act okay and always be the  strong  one when in reality you re close to the edge,Positive
the very worst type of crying is the silent one   the one where you have to hold your breath and grab your stomach just trying to keep quiet,Negative
she s the girl who laughs  smiles  and talks a lot and seems really happy  she could also be the girl who cries herself to sleep every night,Positive
i m the type of person that needs answers and closure because i m not good at letting things slide without trying to understand how and why ,Negative
do you ever feel like people just forget you exist ,Positive
maybe im better off alone because no one has ever loved me the way i love them and i have never felt like anyone wants me or needs me at all,Positive
it really hurts when someone is not in the mood to talk to you but when it comes to someone else  they seem to be the happiest person alive ,Positive
have you ever just randomly started crying because you ve been holding in all of these emotions and pretending to be happy for way too long ,Positive
be very careful with your words because some people are more fragile than others and they don t heal easily or maybe they don t heal at all ,Negative
i don t really know where i stand in some people s lives    one minute they treat me like i m someone special  then nothing the next ,Positive
its sad to think how much damage self hate can do to your body  it damages you mentally it screws you up emotionally it hurts you physically,Negative
have you ever noticed that no one notices your tears no one notices your sadness  no one notices your pain but they all notice your mistakes,Negative
every single time i put myself back together again  i watch myself fall apart once again and every single time is worse than the time before,Negative
you smile  but you want to cry  you talk  but you just want to be quiet  you pretend like you re happy but you aren t  you re breaking down ,Positive
she hides all her problems behind a smile  behind her smile is a world of pain and hurt  you think you know her  but you really have no idea,Negative
i feel myself changing  i don t even laugh the same anymore  i don t smile the same  or talk the same  i m just so damn tired of everything ,Negative
so many people in this world have trust issues because people say  i m here for you  and then run away as soon as things start to fall apart,Positive
if you leave someone at least tell them why  because what s more painful than being abandoned  is knowing you re not worth an explanation ,Negative
stop asking me to trust you when i m still coughing up water from the last time you let me drown ,Negative
do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet,Negative
i need someone who will understand how unstable i am  sometimes being alone can be dangerous for me but other times its exactly what i need ,Negative
i m sorry that i m not everything you wanted  and i m sorry that my best isn t good enough  i m sorry that everything i do disappoints you ,Negative
i don t tweet for sympathy  or attention i express my thoughts and feelings  this is my outlet where i can say stuff without feeling judged ,Negative
i wish someone was afraid to lose me i m always scared of losing people that i love but i doubt anyone would fight to keep me in their life ,Negative
i m pretty sure by now  tired  is just part of my personality description ,Positive
nobody hates me more than myself ,Negative
i hate the fact that i cry when i m angry  and that s the worst thing ever because you re trying to act tough and mean but instead you cry ,Negative
you smile  but all you want is to cry  you talk  but you really just want to be quiet  you pretend like you re happy  but you really aren t ,Positive
i m ashamed of myself because i know i should be better and i have no idea how to get there ,Negative
it hurts like hell when you know that you need to let go of someone but you can t  because you re still waiting for the impossible to happen,Negative
do you ever feel like you ve been abandoned by everybody and the only thing you have left to look forward to in life is completely nothing  ,Negative
i always get nervous when people stop replying to me its like did i say something wrong did i scare them away did i offend you in some way ,Negative
what s painful is when you re on the brink of crying and falling apart  and you have to really force it in  so people can t see you breaking,Negative
she s sad because she never shared her deepest thoughts or feelings with anyone  she went her entire life unspoken because nobody understood,Negative
have you ever been so sad that you just really want to be alone  but at the same time you really wish there was someone who you can talk to ,Positive
when i can t push though my depression and it takes over i have to close my door shut the world out  it s the only way i know how to survive,Negative
when i m hurt i shut down  i turn into a total sarcastic bitch  i shut off my emotions and act indifferent and defensive towards everything ,Negative
i hate when i cry about one thing then i end up crying about everything that s messed up in my life ,Negative
she s the girl who laughs and talks a lot and seems very happy  she is also the girl who cries herself to sleep every night ,Positive
do you ever write a really long message and about halfway through you re like  you know what  they don t even care  and end up deleting it ,Negative
i feel myself changing  i don t even laugh the same anymore  i don t smile the same  or talk the same  i m just so damn tired of everything ,Negative
 why are you sad    i don t know   no reason    oh no there are plenty of reasons  i m just not sure which one it is this time ,Positive
proud of you australia  Instead of fear we choosing loving support of our muslim brothers and sisters #illridewithyou #sydneysiege #mateship,Positive
please don t jump to conclusions  resist #Islamophobia remember this is a crime that hurts muslims too #terroist #hostages #sydneysiege,Negative
no words needed  #PhillipHughes  http   t co CGjRu eOLc,Negative
I love hearing the words   I miss you   if only some one would say it and mean it ,Positive
Just because I m being quiet  that doesn t mean I m mad  Sometimes I m just not in the mood to talk ,Positive
Sometimes you don t know how strong you are until the day you look back and realize that despite everything  you re still standing ,Negative
Thank god im feeling better  thankyou to all of you that wished me well  I really felt the love thankyou xox,Positive
I seriously over think everything  which makes me stress myself out and create problems that weren t even there in the first place ,Negative
Don t do it for them because you have to  do it because you want to ,Positive
Bad news is  everyone is not going to like you  Good news is  that s not your problem ,Negative
Life is too damn short to give another minute to anyone or anything that doesn t make you happy ,Negative
Paper cuts  so small  but so evil ,Negative
There is no  wrong  in life  Nothing is a mistake  everything is an experience ,Negative
Never ignore a person who loves you and cares for you  One day  you may realize you ve lost the moon while counting the stars ,Positive
Don t fall for the wrong person just because they know how to say the right things ,Negative
I hate when people sit in front of you at movies  amp  take away your foot rest ,Negative
Sometimes I wish you were in my place just to know how I feel ,Positive
Protect those who mean the most to you and never turn back on them  In the end  they re the ones who will stand by you,Positive
When someone takes too long to text me back  I start rereading what I sent to see what I might ve said wrong ,Negative
We don t lose friends  we just learn who our real ones are ,Negative
Drunk words are sober thoughts ,Negative
I really hate it when I m in a good mood and suddenly something bad happens and ruins everything ,Negative
Never give up on something you really want  It s difficult to wait  but worse to regret ,Negative
I miss the way we used to talk ,Negative
RT    Gosh  You have the mOst amazing tweets  I love it  xx,Positive
Thanks for texting me first and then ignoring my reply   ,Positive
I hate when I forget to press send on my phone  then sit and wait there for a reply like an idiot ,Negative
Hope everyone has a wonderfull Sunday  Stay safe and enjoy the day xox,Positive
Accept me at my strongest  support me at my weakest ,Positive
I m officially done trying  If you want me in your life  you can come find me  Until then  continue treating me like I don t exist ,Positive
I like to pretend that everything is alright because when everybody else thinks your fine  sometimes you forget for a while that your not ,Positive
Respect people s feelings  Even if it doesn t mean anything to you  it could mean everything to them,Positive
I don t have trust issues  it s just that people don t make themselves trustworthy anymore ,Positive
Sometimes you just got to be strong  It may hurt and you may shed a few tears  but every thing s going to be alright ,Positive
that s the thing about pain  it demands to be felt ,Negative
If all your going to do is correct my grammar  then please unfollow me   ,Positive
RT     is a great girl to talk to  knows her stuff   ,Positive
I didn t lose a follower  a follower lost me,Negative
I hate being the one who always cares about other people s feelings  sometimes I just need someone who can also understand and care for me ,Positive
It hurts when you have someone in your heart but you can t have them in your arms ,Negative
Saying that you re okay is so much easier rather than explaining all the reasons why you re not ,Positive
A true friend is someone who can see the truth and pain in you even when you re fooling everyone else ,Positive
Always remember  that no matter how useless you think you are  you are still someone s reason to smile ,Negative
It s always amazed me how tough some people get when they re behind a keyboard ,Positive
Worst feeling in the world is knowing you did the best you could  and it still wasn t good enough ,Negative
Who else takes out their head phones and listens to them to make sure the music isn t loud enough for everyone to hear ,Positive
I ve got    problems and    of them are completely made up scenarios in my head that I m stressing about for absolutely no logical reason ,Negative
Doing something weird and thinking  This is why I m single ,Negative
No matter how good or bad you think life is  wake up each day and be thankful for life  Someone else is fighting to survive ,Negative
It is not important to have a million friends  It is more important to have a friend that stands by you when millions are against you ,Positive
Failures are a part of life  If you don t fail  you ll never learn  If you never learn  you ll never change ,Negative
Appearances make impressions but is the personality that makes an impact ,Positive
I don t care if it s  am   am   am or  am   If you call and I care about you    I ll always answer ,Negative
I m proud of my heart  It s been played  stabbed  cheated  burned and broken  but somehow still works ,Negative
Tweeting someone while your half asleep then reading your text in the morning and realizing you made no sense    ,Negative
Sometimes good things fall apart so better things can fall together  Every story has an end  but in life every end is just a new beginning ,Positive
Sometimes  you need patience in order to find true happiness  It won t come fast and it won t come easy  but it will be worth it ,Positive
The best reason to love a person is to love a person for no reason at all ,Positive
I am not proud of some of the things I have done  But I am grateful for the lessons Ive learned from them ,Positive
Second chances are not given to make things right  But are given to prove that we could be better even after we fall ,Positive
A true friend is someone who helps you up when you are down  and if they can t help you up they lay down and listen ,Positive
I m sad  hurt  angry  mad  disappointed  But you know what  I ll put on a happy face and move on  It will hurt but I will survive ,Negative
Dear life  When I said  can my day get any worse  it was a rhetorical question not a challenge ,Negative
I m a leader  Not a follower  Unless it s a dark place  then screw it you re going first ,Negative
One of the hardest lessons in life is letting go  whether its guilt  anger  love  loss or betrayal  Change is never easy ,Negative
Stay strong  make them wonder how you re still smiling ,Positive
Sometimes you ll find the saddest songs brings U the most comfort  And the memories that make U cry are the happiest ones you ll ever have ,Negative
It seems like people always want the truth  but never want to be honest ,Positive
One thing you can do better than anyone else  is be yourself ,Positive
Those that are the hardest to love  need it the most ,Positive
I will never apologize for having feelings I m secure enough to honestly express them  When I don t feel anything  I ll know I m in trouble ,Positive
If you have a problem with me  text me  If you don t have my number than that means you don t know me well enough to have a problem with me ,Negative
Stuck between  I really want to talk to you  and  I don t want to annoy you ,Negative
things that shouldn t exist  body hair  acne  getting sick  bad things happening to good people  olives,Negative
You can close your eyes to the things you don t want to see  but you can t close your heart to the things you don t want to feel ,Positive
There are no shortcuts to any place worth going ,Negative
I just worked out how to take photo s on twitter jeeeppeeee   I know it took me a year         No laughing please lol,Positive
Over thinking kills your happiness  insecurities kills your self esteem  and lies kills your trust ,Negative
Someone stop me  my mind is in overdrive  my sayings are getting worse  maybe time for bed ,Negative
Yes im in a stupid mood ,Negative
I ve got    problems and    of them are completely made up scenarios in my head that I m stressing about for absolutely no logical reason ,Negative
Am I the only one who wakes up then stays in bed for like another hour,Positive
I act like I m fine  Everyone thinks I m okay  yet when the lights are off and I m all alone  that is when the tears start to fall ,Positive
Don t be afraid to feel what you re feeling  Try to remember that you are not alone  you are very loved  very needed  and very special ,Positive
You shouldn t give up  Fight for yourself and who you are  You ve got to go through the worst times in life to get the best ,Negative
Always wear a smile not because life is full of reasons to smile but because your smile itself is a reason for others to smile ,Positive
Text me when you re bored and ill ignore it like I m busy,Negative
I m not perfect  I make mistakes and I hurt people  But when I say that I m sorry  please believe me  Because I mean it ,Negative
I try not to miss you  I try to let go  but in the end  you re always on my mind ,Positive
I am who I am  I like what I like  I love what I love  I do what I want  Get off my back and deal with it  It s my life  not yours ,Positive
I hate it when I can t stop thinking about that one person  and deep down inside  I know they probably haven t even thought about me once ,Negative
there s not a day that goes by that I don t wish that I could take away every ounce of your suffering and put it on my shoulders ,Negative
we re all beautiful  every single one of us  don t let someone make you think differently ,Positive
I m not a perfect person  there s many things i wish i didn t do  but i will always continue learning  to become a better me,Positive
If you re reading this  I want you to know you are loved  and you are wanted  Stay strong,Positive
It s sad when children feel like their life is falling apart so quickly it seems impossible to stop it ,Negative
Life s unfair sometimes we apologize when we know were right  just because we don t wanna hurt their feelings ,Positive
Some days  I wish things had turned out differently ,Positive
Be strong  I know you can  I believe in you ,Positive
Suicide isn t cowardly  I ll tell you what is cowardly   treating people so badly that they want to end their lives ,Negative
Have a heart that never hardens  a temper that never tires  a touch that never hurts ,Positive
I m done trying  If you want me in your life  let me know,Positive
I dont know why i care about the people that don t even care about me,Negative
I love tweeting anonymously  that way nobody can judge me  If only you knew    ,Positive
Why do I hide my sadness with an   I m just tired  ,Negative
 Saying someone can t be sad cause someone has it worse is like saying you can t be happy cause someone has it better  ,Negative
 We all want somebody to notice  but as soon as they do  you wish they never did  ,Positive
I feel as if I m losing the only one that I have    ,Negative
   the same hurtful hits  it s your darker place  in your virgin ears  the remarks they make   ,Negative
Razors are my only friends,Positive
As I drag the blade  The blood begins to raise   I feel so worthless  As for this world  I have no time for this     ,Negative
Why can t everything just be different     ,Negative
I m slowly losing everyone that s close to me    ,Negative
Whenever something good happens in my life it gets shot down by something worse   And people ask me why I don t wanna live   ,Positive
Retweet if you re going through the following  Depression Anxiety Social depression Social anxiety Eating disorder   Let s raise awareness ,Negative
I need help    my world is closing   ,Negative
I haven t felt this much darkness before    ,Negative
I wish I didn t want to die     How can one be happy     ,Positive
When you cry I wipe away all of your tears I held your hand through all of these years,Negative
Mad world,Negative
April  rd   Suicide date  I  I just can t stay  I m sorry   ,Negative
How can I love someone else when I don t even love myself ,Positive
I want to die  but I just cry    I don t want to cry  but I have to because of the fact that I want to die ,Negative
I tend to ask myself     Am I worth it  Or should I end it all  ,Positive
Sometimes the biggest smiles hide the most fear  the prettiest eyes have cried the most tears and the biggest hearts have felt the most pain,Negative
Why do some uncommon diseases have awareness  but depression is focused on so little  even though   out of   will go through depression,Negative
Social anxiety thing #   Being around people  or just one person  makes me sick  I prefer to be isolated     ,Negative
Social anxiety thing #   My anxiety is so bad that I can t even walk past someone on the sidewalk  I have to take a whole different route ,Negative
We cut  but   times out of    we don t want to die  we just want to stop the pain ,Negative
Social anxiety thing #   When someone talks to me  I don t know what to do  I mean  I wanna reply  you don t understand that I just can t   ,Positive
Social anxiety thing #    If you don t come talk to me  even if I like you  I still won t talk to you first  I mean I want to  I just can t ,Positive
 As the tears fall  the razors cut  As I lay down  my eyes shut  There s no hope for me   And i don t know who I m supposed to be  ,Negative
One day you ll get tired of saying everything s alright,Negative
 I use this knife  I use this light  I cut and burn but can t win the fight  ,Negative
It hurts soooo bad      ,Negative
 They think you re crazy  they think mad  the call you stupid  worthless  tell you you re not worth it  ,Negative
Why do people tell me   Everything s going to be okay    The thing is  they don t know that it won t be okay ,Negative
 Nobody wants me  Nobody cares  If I could just die  I d have no more fears  ,Negative
I wish I could talk to her  but it s too hard ,Positive
Pretending that I m happy makes it even worse    ,Negative
Social anxiety thing #   I want to talk to other people  but I just can t ,Negative
I just want everyone to leave me alone  I don t want to talk to anybody  I just want to be alone  I don t need anybodies sympathy ,Negative
 The wounds will heal and the pain will subside  And the scars will go away that you tried so hard to hide  ,Negative
Sometimes you just have to make yourself bleed just to know that you re still alive,Positive
 And then I closed my eyes  I found relief in a knife  and the blood flows as I cry  ,Positive
 Your breakin  heart pounds like thunder  the waves  they try  to pull you under  ,Positive
 Oh  hold on don t you go losing it now  the sun will shine and help you find your way out  ,Positive
They say   why kill yourself    I just tell them   why not  ,Negative
I don t think you know how badly I want to kill myself right now    ,Negative
God  I hate how I look ,Negative
 The higher I get  the lower I ll sink  I can t drown my demons  they know how to swim  ,Positive
 My life is a story  my life is a joke  Nobody loves  and I m all out of hope  ,Positive
Living with social anxiety is terrible  I want to talk to people that aren t my friends  but I just can t do it  My life s a flaw ,Negative
 We stopped checking for monsters under our bed when we realized that they were inside of us  ,Negative
 I wake up and I feel the pain  throughout the day  it remains the same  As I fall asleep at night  I think of different ways to die  ,Negative
 It sucks to not be able to tell the one you love that you like them  because you know that eventually you re going to get hurt  ,Positive
Hush girl don t you cry dont cut your arms dont say goodbye Put down that razor put down that light I know its hard but you ll win the fight,Positive
I woke up  tired of life ,Negative
It s all for attention right  She cuts herself  she starves herself she cries herself to sleep she s broken but it s all for attention right,Negative
 A smile on her lips  and cuts on her hips  ,Positive
 She paints a pretty picture  but here s the shocking twist  the paintbrush is a razor  and the canvas is her wrist  ,Negative
 I find it kind of funny  I find it kind of sad  the dreams in which I m dying  are the best I ve ever had  ,Positive
I m tired of smiling when I m sad  I m tired of laughing when I m mad  I m tired of hiding the real me but I m too scared of what others see,Negative
 If I killed myself tonight  the stars would still come out  the sun would still shine  and the earth would still rotate  so why not  ,Negative
Suicide is my way of telling god    You can t fire me  I quit  ,Negative
 Maybe he laughs  maybe he cries  and maybe you wold be surprised at everything he keeps inside  ,Positive
RT   That constant fear of never being good enough  lt  lt ,Negative
 There s a boy in my mirror crying tonight  and there is nothing I can tell him that will make him feel alright  ,Negative
 Not all scars show  not all wounds heal  Sometimes you can t always see the pain someone feels  ,Negative
Wear a mask that grins and lies it hides our cheeks  and shades our eyes The debt we pay to human guile with torn and broken hearts we smile,Negative
People ask me    Why do you always take the hard road    I think    What makes you think that I see two roads  ,Negative
 Don t be afraid  there s nothing to fear  the price was payed when she shed my blood and tears  ,Positive
 I m not important  everyone will do just fine without me  ,Positive
They ask me   Why did you try to kill yourself    I tell them   You told me to be happy  ,Negative
 Slit your wrists and cut your thighs  fake a smile and dry your eyes  hate yourself and hate your life  Welcome to my world of lies  ,Negative
Pain of mind hurts more than pain of body ,Negative
Well just look at what you ve done  don t you dare forget the sun,Positive
 Well I know you lay in bed  contemplating your own death    get scared,Negative
 I smile  but nobody can actually see  in my eyes  that I m slowly giving up  ,Positive
RT   How can you call it love if you re crying more than you re smiling ,Positive
http   t co U kctD BLt  Keep your heads up and keep fighting I know it hurts but somebody out there sincerely cares more than U ll ever know,Positive
 You cry  you fight  you wine  and you weep  But you want to give up because these are the things that you just can t keep  ,Negative
 Alcohol and nervous wits  razor blades and bloody wrists   Deceiving eyes trapped in lies  I can t escape the painful cries  ,Negative
   You might think I m happy    But I m not    My smile is the best lie that I ve got  ,Positive
You should know by now that when I say    I m fine  it s really code for   no I m not okay and I feel like my world is crashing down on me  ,Positive
 Are you okay     yeah  just tired    T Tired of living  I  insecure  R really faking my smile  E extremely sad  D drowning in my tears ,Negative
Nobody cares until it s too late,Positive
Being secretly in love with someone is the hardest feeling You get hurt You get jealous You get broke And it s sad cause she never knows it,Negative
 I stay strong because I know what it s like to be weak  I keep a guard because I know what it s like to cry myself to sleep  ,Positive
 Behind my smile is a hurting heart  Behind my laugh  I m falling apart  Look closely at me and you will see  the person I am  isn t me  ,Positive
 She hurts and she cries  But you can t see the depression in her eyes  Because all she does is smile  ,Negative
 Depression is like a war  You either win  Or you die trying  ,Negative
 Mirror  mirror  don t you see  What you re showing is ruining me  ,Negative
Throughout my life  I ve always been afraid of losing the people that I love  Then I realize   would anyone be afraid of losing me  ,Negative
 Sometimes it s better to be alone  because when you re alone at least nobody can hurt you  ,Negative
 People say that dreams do come true  But nightmares are dreams too  ,Positive
I want to disappear forever,Negative
 I despise everything that I use to love  ,Negative
 If they  really knew all of those things that you do in your room  to hide the pain  I bet their minds would change  ,Negative
 Why do I want to end my life  ,Positive
 If I said I liked you would you like me back  ,Positive
 I just wish that I was never born  ,Positive
 Nobody cared  Nobody cares now  Nobody will care  Why am I still here  ,Positive
 I can t wait till the day I commit suicide so that I can look down from paradise just to see that nobody even cared    RO,Positive
 I smile just to let people think that I m fine  but when I lay in bed at night  I just pray that I don t wake up  ,Positive
Stay strong loves  I love all of you  Never give up  you re not alone  http   t co gOArYh U S,Positive
The words they say make me weep  The blades I use cut me deep  But the memories I have will forever creep  It s too bad that I quietly bleed,Negative
 The only friend that I have is my silver razor  which draws the blood  ,Positive
 Smiling has always been easier than explaining why you re sad  ,Positive
Every    minutes someone commits suicide  Every    seconds somebody attempts one  Togethers we can change this  Who s with me ,Negative
 I don t know I m getting better or if I m just used to the pain  ,Positive
 The worst feeling ever is being alone in a room full of people  ,Negative
As I lay in bed  I realize how lonely I am  Then I realize that nobody even cares  I m slowly giving up  LC ,Positive
Please stay strong  everyone is beautiful and deserves the right to be happy  I m sorry for your sadness     http   t co XmYEz  wgT,Positive
 Tired of trying  Sick of crying  I know that I ve been smiling  But inside I m dying  ,Negative
Just because I m smiling doesn t mean that I m happy   ,Positive
Look at your cuts  or burns  or those bruises that you gave yourself  Each one  is a battle that you lost with yourself ,Negative
 A broken mirror A bleeding fist A silver blade against her wrist  Tears fall down to lips unkissed She s not the kind you ll come to miss ,Negative
If anyone has something inspirational to say  Send me a message and I ll post anonymously  #fighttoenddepression,Positive
Send me a direct message of what s been so wrong and I ll post it anonymously  We can get through this  Stay strong loves  you re not alone ,Positive
This page is for all of those who feel lost  lonely  suicidal  hurt  and who just need hope  Together we can beat depression ,Negative
I love tweeting anonymously  that way nobody can judge me  If only you knew    ,Positive
Why do I hide my sadness with an   I m just tired  ,Negative
 Saying someone can t be sad cause someone has it worse is like saying you can t be happy cause someone has it better  ,Negative
 We all want somebody to notice  but as soon as they do  you wish they never did  ,Positive
I feel as if I m losing the only one that I have    ,Negative
   the same hurtful hits  it s your darker place  in your virgin ears  the remarks they make   ,Negative
Razors are my only friends,Positive
As I drag the blade  The blood begins to raise   I feel so worthless  As for this world  I have no time for this     ,Negative
Why can t everything just be different     ,Negative
I m slowly losing everyone that s close to me    ,Negative
Whenever something good happens in my life it gets shot down by something worse   And people ask me why I don t wanna live   ,Positive
Retweet if you re going through the following  Depression Anxiety Social depression Social anxiety Eating disorder   Let s raise awareness ,Negative
I need help    my world is closing   ,Negative
I haven t felt this much darkness before    ,Negative
I wish I didn t want to die     How can one be happy     ,Positive
When you cry I wipe away all of your tears I held your hand through all of these years,Negative
Mad world,Negative
April  rd   Suicide date  I  I just can t stay  I m sorry   ,Negative
How can I love someone else when I don t even love myself ,Positive
I want to die  but I just cry    I don t want to cry  but I have to because of the fact that I want to die ,Negative
I tend to ask myself     Am I worth it  Or should I end it all  ,Positive
Sometimes the biggest smiles hide the most fear  the prettiest eyes have cried the most tears and the biggest hearts have felt the most pain,Negative
Why do some uncommon diseases have awareness  but depression is focused on so little  even though   out of   will go through depression,Negative
Social anxiety thing #   Being around people  or just one person  makes me sick  I prefer to be isolated     ,Negative
Social anxiety thing #   My anxiety is so bad that I can t even walk past someone on the sidewalk  I have to take a whole different route ,Negative
We cut  but   times out of    we don t want to die  we just want to stop the pain ,Negative
Social anxiety thing #   When someone talks to me  I don t know what to do  I mean  I wanna reply  you don t understand that I just can t   ,Positive
Social anxiety thing #    If you don t come talk to me  even if I like you  I still won t talk to you first  I mean I want to  I just can t ,Positive
 As the tears fall  the razors cut  As I lay down  my eyes shut  There s no hope for me   And i don t know who I m supposed to be  ,Negative
One day you ll get tired of saying everything s alright,Negative
 I use this knife  I use this light  I cut and burn but can t win the fight  ,Negative
It hurts soooo bad      ,Negative
 They think you re crazy  they think mad  the call you stupid  worthless  tell you you re not worth it  ,Negative
Why do people tell me   Everything s going to be okay    The thing is  they don t know that it won t be okay ,Negative
 Nobody wants me  Nobody cares  If I could just die  I d have no more fears  ,Negative
I wish I could talk to her  but it s too hard ,Positive
Pretending that I m happy makes it even worse    ,Negative
Social anxiety thing #   I want to talk to other people  but I just can t ,Negative
I just want everyone to leave me alone  I don t want to talk to anybody  I just want to be alone  I don t need anybodies sympathy ,Negative
 The wounds will heal and the pain will subside  And the scars will go away that you tried so hard to hide  ,Negative
Sometimes you just have to make yourself bleed just to know that you re still alive,Positive
